id,age_asvab,hgc_mom,hgc_dad,asvab_general_sci,asvab_arith_reasoning,asvab_word_know,asvab_para_comp,asvab_nmbr_oper,asvab_coding_speed,asvab_autoshop_info,asvab_math_know,asvab_mech_comp,asvab_electr_info,abl_social
1,16,8,16,-1133.8317,74.081657,-734.17474,-345.81262,23938.252,14220.097,-1237.6945,1132.7126,-1954.2991,-1840.5074,1.6423943
2,15,15,17,420.27048,-244.75842,-127.58318,1045.6698,19495.439,11833.678,-1073.9958,621.52783,-540.30701,1254.7745,.22616343
4,16,12,12,-940.83167,-551.91833,-529.17474,-97.812607,23830.252,10511.097,-1514.6945,1073.7126,-864.29907,-887.50745,.60312837
6,15,12,,-443.72952,-1720.7584,-275.58316,-22.330248,7992.4395,4807.6782,-1339.9958,-764.47217,-883.30701,-1668.2255,1.3618244
11,15,14,12,167.27049,52.24157,-1011.5832,-210.33025,19333.439,9948.6777,-695.99585,608.52783,-82.30703,-1627.2255,.13865876
13,13,6,,-639.32458,674.36322,-491.2294,104.95064,17628.375,9340.251,-1060.6216,924.73578,-426.37048,-628.82239,.84857935
15,14,12,13,-579.4577,-1108.1106,-474.9295,101.9406,11647.134,4506.1748,-1309.5955,67.958672,-1261.9104,-357.15149,.5087536
16,15,11,10,369.27048,42.24157,150.41682,-1206.3302,19855.439,-3800.3218,-1377.4958,1055.5278,-1657.307,-938.2254,1.1058404
17,16,14,,-568.83167,-166.91833,-828.17474,-475.81262,12488.252,6788.0967,-1446.1945,101.71261,-371.29907,-1175.5074,
19,13,15,10,-62.32457,-1721.6368,-484.2294,-1608.0493,,,-868.12146,-828.26422,-1283.3705,-1180.8224,1.1415761
21,15,13,11,-1220.7295,-1124.7584,-1579.5831,-2013.3302,12938.439,910.67816,-1695.4958,-1182.4722,-602.30701,-2187.2253,1.1319515
23,14,10,10,-1096.4576,-1433.1106,-1649.9296,-807.05939,9842.1338,1515.1746,-1885.0953,-1009.0413,-1413.9104,-1833.1515,.48745155
25,14,12,12,-1727.4576,-806.11066,-1829.9296,-1379.0594,16529.133,5571.1748,-1513.5955,-855.04132,-450.91034,-1706.1515,-1.2087026
26,17,12,,-1315,-616,-1184,-1277,14845,-4871,-1280.5,-601,-1919,-2378,-1.2824864
